PITCHERS,Team,G,GS,IP,W,L,SV,H,BB,K,ER,ERA,WHIP
"Texeira,  Kanekoa",KC,43,0,61.3,1,1,0,73,25,33,33,4.842,1.598
"Thatcher,  Joe",SD,65,0,35.0,1,0,0,23,7,45,5,1.286,0.857
"Thayer,  Dale",TB,1,0,2.0,0,0,0,7,0,2,6,27.000,3.500
"Thomas,  Brad",DET,49,2,69.3,6,2,0,77,29,30,30,3.894,1.529
"Thomas,  Justin",PIT,12,0,13.0,0,1,0,21,5,5,9,6.231,2.000
"Thompson,  Brad",HOU,16,0,19.7,0,4,0,25,4,10,14,6.407,1.475
"Thompson,  Rich",LAA,13,0,19.7,2,0,0,12,4,15,3,1.373,0.814
"Thornton,  Matt",CHW,61,0,60.7,5,4,8,41,20,81,18,2.670,1.005
"Threets,  Erick",CHW,11,0,12.3,0,0,0,9,3,6,0,0.000,0.973
"Tillman,  Chris",BAL,11,11,53.7,2,5,0,51,31,31,35,5.870,1.528
"Todd,  Jess",CLE,5,0,6.0,0,0,0,9,3,9,5,7.500,2.000
"Tomlin,  Josh",CLE,12,12,73.0,6,4,0,72,19,43,37,4.562,1.247
"Torres,  Carlos",CHW,5,1,13.7,0,1,0,23,9,13,13,8.561,2.341
"Troncoso,  Ramon",LAD,52,0,54.0,2,3,0,55,18,34,26,4.333,1.352
"Uehara,  Koji",BAL,43,0,44.0,1,2,13,37,5,55,14,2.864,0.955
"Valdes,  Raul",NYM,38,1,58.7,3,3,1,59,27,56,32,4.909,1.466
"Valdez,  Cesar",AZ,9,2,20.0,1,2,0,29,10,13,17,7.650,1.950
"Valdez,  Merkin",TOR,2,0,1.3,0,0,0,2,3,0,3,20.251,3.750
"Valverde,  Jose",DET,60,0,63.0,2,4,26,41,32,63,21,3.000,1.159
"VandenHurk,  Rick",BAL,9,1,17.7,0,1,0,16,8,18,10,5.094,1.358
"Vargas,  Claudio",FA,17,0,19.7,1,0,0,28,10,18,16,7.322,1.932
"Vargas,  Jason",SEA,31,31,193.0,9,12,0,187,54,117,81,3.777,1.249
"Varvaro,  Anthony",SEA,4,0,4.0,0,1,0,6,6,5,5,11.250,3.000
"Vasquez,  Esmerling",AZ,57,0,53.7,1,6,0,46,38,55,31,5.199,1.565
"Vazquez,  Javier",NYY,31,26,157.3,10,10,0,155,65,121,93,5.320,1.398
"Venters,  Jonny",ATL,79,0,83.0,4,4,1,61,39,93,18,1.952,1.205
"Veras,  Jose",FLA,48,0,48.0,3,3,0,32,29,54,20,3.750,1.271
"Verlander,  Justin",DET,33,33,224.3,18,9,0,190,71,219,84,3.370,1.163
"Villanueva,  Carlos",MIL,50,0,52.7,2,0,1,48,22,67,27,4.614,1.329
"Villar,  Henry",HOU,8,0,6.0,0,0,0,5,3,3,3,4.500,1.333
"Viola,  Pedro",BAL,2,0,1.3,0,0,0,1,1,3,2,13.500,1.500
"Volquez,  Edinson",CIN,12,12,62.7,4,3,0,59,35,67,30,4.309,1.500
"Volstad,  Chris",FLA,30,30,175.0,12,9,0,187,60,102,89,4.577,1.411
"Wagner,  Billy",ATL,70,0,68.3,7,2,36,38,21,103,11,1.449,0.863
"Wainwright,  Adam",STL,33,33,230.3,20,11,0,186,56,213,62,2.423,1.051
"Wakefield,  Tim",BOS,32,19,140.0,4,10,0,153,36,84,83,5.336,1.350
"Walden,  Jordan",LAA,16,0,15.3,0,1,1,13,7,23,4,2.348,1.304
"Walker,  Tyler",WSH,24,0,35.3,1,0,0,35,8,30,14,3.566,1.217
"Walters,  P.J.",STL,7,3,30.0,2,0,0,32,10,22,20,6.000,1.400
"Weaver,  Jeff",LAD,44,0,44.3,5,1,0,48,20,26,30,6.090,1.534
"Weaver,  Jered",LAA,34,34,224.3,13,12,0,187,54,233,75,3.009,1.074
"Webb,  Ryan",SD,54,0,59.0,3,1,0,64,19,44,19,2.898,1.407
"Weinhardt,  Robbie",DET,28,0,29.3,2,2,0,40,8,21,20,6.136,1.636
"Wellemeyer,  Todd",FA,13,11,58.7,3,5,0,57,35,41,37,5.676,1.568
"Wells,  Randy",CHC,32,32,194.3,8,14,0,209,63,144,92,4.261,1.400
"West,  Sean",FLA,2,2,9.3,0,2,0,15,4,8,8,7.714,2.036
"Westbrook,  Jake",STL,33,33,202.7,10,11,0,203,68,128,95,4.219,1.337
"Wheeler,  Dan",TB,64,0,48.3,2,4,3,36,16,46,18,3.352,1.076
"White,  Sean",SEA,38,0,34.3,0,1,0,45,11,15,20,5.243,1.631
"Williams,  Randy",FLA,27,0,25.0,0,1,0,37,21,22,15,5.400,2.320
"Willis,  Dontrelle",AZ,15,13,65.7,2,3,0,72,56,47,41,5.619,1.949
"Wilson,  Brian",SF,70,0,73.0,3,3,48,58,25,90,14,1.726,1.137
"Wilson,  C.J.",TEX,33,32,204.0,15,8,0,161,93,170,76,3.353,1.245
"Wolf,  Randy",MIL,34,34,215.7,13,12,0,213,87,142,100,4.173,1.391
"Wolf,  Ross",OAK,11,0,12.7,0,0,0,12,6,9,6,4.263,1.421
"Wood,  Blake",KC,51,0,49.7,1,3,0,54,22,31,28,5.074,1.530
"Wood,  Kerry",NYY,47,0,46.0,3,4,8,35,29,47,16,3.130,1.391
"Wood,  Tim",FLA,26,0,27.7,0,1,1,33,15,10,17,5.530,1.735
"Wood,  Travis",CIN,17,17,102.7,5,4,0,85,26,86,40,3.506,1.081
"Worley,  Vance",PHI,5,2,13.0,1,1,0,8,4,12,2,1.385,0.923
"Wright,  Jamey",SEA,46,0,58.3,1,3,0,55,25,28,27,4.166,1.371
"Wright,  Wesley",HOU,14,4,33.0,1,2,0,37,13,29,21,5.727,1.515
"Wuertz,  Michael",OAK,48,0,39.7,2,3,6,35,21,40,19,4.311,1.412
"Young,  Chris",SD,4,4,20.0,2,0,0,10,11,15,2,0.900,1.050
"Zagurski,  Michael",PHI,8,0,7.0,0,0,0,8,5,11,8,10.286,1.857
"Zambrano,  Carlos",CHC,36,20,129.7,11,6,0,119,69,117,48,3.332,1.450
"Ziegler,  Brad",OAK,64,0,60.7,3,7,0,54,28,41,22,3.264,1.352
"Zimmermann,  Jordan",WSH,7,7,31.0,1,2,0,31,10,27,17,4.935,1.323
"Zito,  Barry",SF,34,33,199.3,9,14,0,184,84,150,92,4.154,1.344
"Zumaya,  Joel",DET,31,0,38.3,2,1,1,32,11,34,11,2.583,1.122
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
