PITCHERS,Team,G,GS,IP,W,L,SV,H,BB,K,ER,ERA,WHIP
"Masterson,  Justin",CLE,34,29,180.0,6,13,0,197,73,140,94,4.700,1.500
"Mata,  Frank",BAL,15,0,17.3,0,0,0,24,8,9,15,7.789,1.846
"Mateo,  Marcos",CHC,21,0,21.7,0,1,0,20,9,26,14,5.815,1.338
"Mathieson,  Scott",PHI,2,0,1.7,0,0,0,5,2,1,2,10.800,4.200
"Mathis,  Doug",TEX,13,0,22.3,1,1,0,30,11,10,15,6.045,1.836
"Matsuzaka,  Daisuke",BOS,25,25,153.7,9,6,0,137,74,133,80,4.685,1.373
"Matusz,  Brian",BAL,32,32,175.7,10,12,0,173,63,143,84,4.304,1.343
"Maya,  Yunesky",WSH,5,5,26.0,0,3,0,30,11,12,17,5.885,1.577
"Mazzaro,  Vin",OAK,24,18,122.3,6,8,0,127,50,79,58,4.267,1.447
"McClellan,  Kyle",STL,68,0,75.3,1,4,2,58,23,60,19,2.270,1.075
"McClendon,  Mike",MIL,17,0,21.0,2,0,0,15,7,21,7,3.000,1.048
"McCutchen,  Daniel ",PIT,28,9,67.7,2,5,0,83,28,38,46,6.118,1.640
"McDonald,  James",PIT,15,12,71.7,4,6,0,70,29,68,32,4.019,1.381
"McGee,  Jake",TB,8,0,5.0,0,0,0,2,3,6,1,1.800,1.000
"Meche,  Gil",KC,20,9,61.7,0,5,0,65,38,41,39,5.692,1.670
"Medders,  Brandon",SF,14,0,15.0,0,0,0,26,6,8,12,7.200,2.133
"Medlen,  Kris",ATL,31,14,107.7,6,2,0,108,21,83,44,3.678,1.198
"Meek,  Evan",PIT,69,0,79.0,5,4,4,53,31,70,19,2.165,1.063
"Mejia,  Jenrry",NYM,33,3,39.0,0,4,0,46,20,22,20,4.615,1.692
"Melancon,  Mark",HOU,22,0,21.3,2,0,0,19,8,22,10,4.219,1.266
"Mendez,  Adalberto",FLA,5,5,24.7,1,3,0,28,12,11,14,5.108,1.622
"Mendoza,  Luis",KC,4,0,4.0,0,1,0,10,3,1,10,22.499,3.250
"Meredith,  Cla",FA,21,0,15.0,0,2,1,18,4,7,9,5.400,1.467
